text,label,intent
Hello sir good morning this is Priya calling from HDFC Bank customer care. Sir I am calling to inform you that your credit card payment of 12500 rupees is due on 20th July. Sir please ensure you make the payment on time to avoid any late payment charges. You can pay through the HDFC mobile app net banking or visit your nearest branch. Is there anything else I can help you with sir?,0,Legitimate
Hello am I speaking with the account holder? Good morning sir this is Ramesh from SBI customer care. Sir I am calling regarding your home loan application that you submitted last week. Sir your application has been processed and approved. Our executive will visit you tomorrow to complete the documentation. Please keep your original documents ready. No payment is required at this stage sir.,0,Legitimate
Hello sir this is an automated call from ICICI Bank. We have detected a transaction of 8500 rupees on your debit card ending in 4321 at a merchant in Chennai. Sir if you have done this transaction no action is needed. If you have not done this transaction please press 1 to block your card immediately or call the number on the back of your card. We will never ask for your OTP or PIN sir.,0,Legitimate
Good afternoon is this Mr Sharma? Sir this is Sunita from Axis Bank. Sir I am calling to inform you that your fixed deposit of 2 lakh rupees has matured today. Sir the amount along with interest has been credited to your savings account. Sir would you like to renew the FD? If yes please visit your nearest Axis Bank branch or call us on our official helpline. We will not ask for any bank details over this call sir.,0,Legitimate
Hello sir good morning. This is calling from Kotak Mahindra Bank. Sir your savings account is showing a low balance. As per RBI guidelines a minimum balance of 10000 rupees needs to be maintained in your account. Sir to avoid any penalty charges please deposit the required amount at your nearest branch or through net banking. Thank you sir.,0,Legitimate
Hello is this the registered mobile number for policy number 4521367? Good morning sir I am calling from LIC of India. Sir your annual premium of 18500 rupees is due on 25th July. Sir please pay on time to keep your policy active. You can pay at any LIC branch online at licindia.in or through your insurance agent. Sir we will never ask for OTP or bank details over this call.,0,Legitimate Advisory
Hello sir this is Meena calling from Star Health Insurance. Sir I am calling to inform you that your health insurance policy is up for renewal next month. Sir our executive will visit you at your convenience to assist with the renewal process and explain the new benefits. No payment is required over this call sir. Please call our official helpline if you have any queries.,0,Legitimate Advisory
Good morning sir this is an automated reminder from Max Life Insurance. Your premium of 22000 rupees for policy ending in 7823 is due in 5 days. Sir please pay through the Max Life app net banking or at your nearest branch. For assistance call our official customer care. We will never ask for your OTP or card number sir.,0,Legitimate Advisory
Hello sir good morning. Am I speaking with the vehicle owner? Sir this is calling from New India Assurance. Sir your vehicle insurance policy for your car is expiring on 30th July. Sir to avoid driving without insurance please renew your policy at the earliest. Our agent can visit you or you can renew online at newindia.co.in. No payment over the phone sir.,0,Legitimate Advisory
Hello sir this is Rajesh from IRCTC customer care. Sir I am calling regarding your train ticket booking for the journey from Delhi to Mumbai on 22nd July. Sir your booking is confirmed and the PNR number is 4521367890. Sir please carry a valid government ID proof during the journey. For any changes or cancellations please use the IRCTC website or app. Is there anything else I can help you with?,0,Legitimate
Hello sir good morning this is calling from MakeMyTrip. Sir your flight from Bangalore to Hyderabad on 18th July is confirmed. Sir your booking ID is MMT987654. Sir web check-in will open 48 hours before departure. For any queries please call our official helpline or use the MakeMyTrip app. Have a pleasant journey sir.,0,Legitimate
Hello sir this is Neha from Ola customer care. Sir I am calling regarding a complaint you raised about your recent ride. Sir we have reviewed the issue and a refund of 150 rupees has been processed to your Ola wallet. Sir it will reflect within 24 hours. Is there anything else I can assist you with today sir?,0,Legitimate
Good afternoon sir this is Amazon customer care calling. Sir I am calling regarding your recent order for a laptop bag. Sir the order has been delayed due to unforeseen circumstances. We sincerely apologize for the inconvenience. Sir your order will be delivered by 20th July. You can track the order on the Amazon app. No action is required from your side sir.,0,Legitimate
Hello sir this is calling from Flipkart. Sir your order for running shoes is out for delivery today. Sir our delivery partner will contact you before arriving. Please ensure someone is available at the delivery address. For any issues please contact us through the Flipkart app. Thank you sir.,0,Legitimate
Hello sir good morning this is Jio customer care. Sir I am calling to inform you that your current plan is expiring in 3 days. Sir to continue enjoying uninterrupted service please recharge through the MyJio app your nearest Jio store or any authorized retailer. Sir we will never ask for your OTP or bank details over the phone. Is there anything else I can help you with sir?,0,Legitimate Advisory
Hello sir this is Airtel customer care. Sir we have received your complaint about slow internet speed. Sir our technical team has identified an issue in your area and it is being resolved. Sir service will be restored within 4 hours. We apologize for the inconvenience sir. You will receive an SMS once the issue is resolved.,0,Legitimate
Good morning sir this is calling from Vi customer care. Sir your postpaid bill of 699 rupees for the month of June has been generated. Sir the due date is 15th July. Please pay through the Vi app net banking or at any Vi store. Sir late payment will attract additional charges. Thank you for choosing Vi sir.,0,Legitimate Advisory
Hello sir this is BSNL customer care calling. Sir we would like to inform you that planned maintenance work will be carried out in your area on Sunday between 6 AM and 12 PM. Sir your broadband and landline services may be disrupted during this period. We apologize for the inconvenience and thank you for your patience sir.,0,Legitimate Advisory
Hello good morning sir this is calling from Swiggy customer care. Sir I am calling regarding your recent order. Sir there was a delay in your delivery and we would like to offer you a coupon of 100 rupees as compensation. The coupon will be automatically added to your Swiggy account. No action required from your side sir. We apologize for the inconvenience.,0,Legitimate
Hello sir this is Zomato customer care. Sir I am calling regarding a feedback you gave for your recent order. Sir we take customer feedback very seriously and have conveyed your concern to the restaurant. Sir as a goodwill gesture we have added 75 rupees to your Zomato credits. Thank you for helping us improve sir.,0,Legitimate
Hello sir good morning this is calling from Apollo Hospital. Sir your appointment with Dr Mehta in the cardiology department is scheduled for tomorrow at 10 AM. Sir please arrive 15 minutes early and carry your previous medical reports and government ID. Sir if you need to reschedule please call our reception at least 2 hours in advance. See you tomorrow sir.,0,Legitimate Advisory
Hello sir this is Fortis Hospital calling. Sir the blood test reports that you had done last Tuesday are ready. Sir you can collect them from the hospital or download them from the Fortis app using your patient ID. For any queries about your reports please consult Dr Sharma directly. Is there anything else I can help you with sir?,0,Legitimate
Good afternoon sir this is calling from Thyrocare. Sir your home collection for blood tests is scheduled for tomorrow morning between 7 and 9 AM. Sir please make sure you are fasting for at least 8 hours before the collection. Our technician will arrive at your registered address. Please keep your ID proof ready. No additional payment is required sir.,0,Legitimate Advisory
